ID,NAME,ABBR,GEOM0LAT,GEOM0LON,GEOM0BBOX,GEOM0AREA,LINEAGE0COUNTRY0ID,LINEAGE0COUNTRY0NAME,LINEAGE0COUNTRY0ABBR,LINEAGE0MACROREGION0ID,LINEAGE0MACROREGION0NAME,LINEAGE0MACROREGION0ABBR,LINEAGE0REGION0ID,LINEAGE0REGION0NAME,LINEAGE0REGION0ABBR,LINEAGE0LOCALADMIN0ID,LINEAGE0LOCALADMIN0NAME,LINEAGE0LOCALADMIN0ABBR,LINEAGE0LOCALITY0ID,LINEAGE0LOCALITY0NAME,LINEAGE0LOCALITY0ABBR,PLACETYPE
032,Bélgica,BEL,50.84808,4.3698,"2.56116,49.49652,6.40585,51.50382",30774.35431,032,Bélgica,BEL,,,,,,,,,,,,,country
03201,Bruselas,,50.84808,4.3698,"2.52180,49.49522,6.37453,51.49624",76105.02042,032,Bélgica,BEL,03201,Bruselas,,,,,,,,,,,macroregion
0320100,Bruselas,,50.84808,4.3698,"2.52180,49.49522,6.37453,51.49624",76105.02042,032,Bélgica,BEL,03201,Bruselas,,0320100,Bruselas,,,,,,,,region
0320100000,Bruselas,,50.84808,4.3698,"2.52180,49.49522,6.37453,51.49624",76105.02042,032,Bélgica,BEL,03201,Bruselas,,0320100,Bruselas,,0320100000,Bruselas,,,,,localadmin
03201000000000,Bruselas,,50.84808,4.3698,"2.52180,49.49522,6.37453,51.49624",76105.02042,032,Bélgica,BEL,03201,Bruselas,,0320100,Bruselas,,0320100000,Bruselas,,03201000000000,Bruselas,,locality
034,España,ES,42.46383,-2.46096,"-18.16318,27.81793,4.28823,43.79404",505315.91097,034,España,ES,,,,,,,,,,,,,country
03401,Andalucía,,37.46719,-4.5795,"-7.52449,36.00620,-1.62669,38.72940",87639.28979,034,España,ES,03401,Andalucía,,,,,,,,,,,macroregion
0340104,Almería,,37.19495,-2.34615,"-3.14039,36.68050,-1.62669,37.91560",8773.08827,034,España,ES,03401,Andalucía,,0340104,Almería,,,,,,,,region
0340104001,Abla,,37.19495,-2.34615,"-3.14039,36.68050,-1.62669,37.91560",8773.08827,034,España,ES,03401,Andalucía,,0340104,Almería,,0340104001,Abla,,,,,localadmin
0340104002,Abrucena,,37.19495,-2.34615,"-3.14039,36.68050,-1.62669,37.91560",8773.08827,034,España,ES,03401,Andalucía,,0340104,Almería,,0340104002,Abrucena,,,,,localadmin
0340104003,Adra,,37.19495,-2.34615,"-3.14039,36.68050,-1.62669,37.91560",8773.08827,034,España,ES,03401,Andalucía,,0340104,Almería,,0340104003,Adra,,,,,localadmin
0340104004,Albánchez,,37.19495,-2.34615,"-3.14039,36.68050,-1.62669,37.91560",8773.08827,034,España,ES,03401,Andalucía,,0340104,Almería,,0340104004,Albánchez,,,,,localadmin
0340104005,Alboloduy,,37.19495,-2.34615,"-3.14039,36.68050,-1.62669,37.91560",8773.08827,034,España,ES,03401,Andalucía,,0340104,Almería,,0340104005,Alboloduy,,,,,localadmin
0340104006,Albox,,37.19495,-2.34615,"-3.14039,36.68050,-1.62669,37.91560",8773.08827,034,España,ES,03401,Andalucía,,0340104,Almería,,0340104006,Albox,,,,,localadmin
0340104007,Alcolea,,37.19495,-2.34615,"-3.14039,36.68050,-1.62669,37.91560",8773.08827,034,España,ES,03401,Andalucía,,0340104,Almería,,0340104007,Alcolea,,,,,localadmin
