ELASTICSEARCH_ID,ADDRESS_PARTS0NAME,ADDRESS_PARTS0STREET,PARENT0COUNTRY,PARENT0COUNTRY_ID,PARENT0COUNTRY_A,PARENT0MACROREGION,PARENT0MACROREGION_ID,PARENT0REGION,PARENT0REGION_ID,PARENT0LOCALADMIN,PARENT0LOCALADMIN_ID,PARENT0LOCALITY,PARENT0LOCALITY_ID,ADDENDUM0IDERIOJA0ID,ADDENDUM0IDERIOJA0LENGUA,ADDENDUM0IDERIOJA0ESTADO,ADDENDUM0IDERIOJA0NOMBRE_ACTU,NAME0DEFAULT,NAME0ES,PHRASE0DEFAULT,PHRASE0ES,CENTER_POINT0LAT,CENTER_POINT0LON,LAYER,SOURCE
iderioja:street:calrj/03201000000000000000001,du Regent,Boulevard du Regent,Belgique,032,BEL,Bruxelles Capitale,03201,Bruxelles Capitale,0320100,Bruxelles,0320100000,Bruxelles,03201000000000,03201000000000000000001,fra,Oficial,Boulevard du Regent,Boulevard du Regent,Boulevard du Regent,Boulevard du Regent,Boulevard du Regent,50.84808,4.3698,street,calrj
iderioja:street:calrj/0341726001000101--00001,de La Rioja,Avenida de La Rioja,España,034,ESP,La Rioja,03417,La Rioja,0341726,Ábalos,0341726001,Ábalos,03417260010001,0341726001000101--00001,spa,Oficial,Avenida de La Rioja,Avenida de La Rioja,Avenida de La Rioja,Avenida de La Rioja,Avenida de La Rioja,42.57172,-2.70696,street,calrj
iderioja:street:calrj/0341726001000101--00002,Carrabaños,Camino Carrabaños,España,034,ESP,La Rioja,03417,La Rioja,0341726,Ábalos,0341726001,Ábalos,03417260010001,0341726001000101--00002,spa,Oficial,Camino Carrabaños,Camino Carrabaños,Camino Carrabaños,Camino Carrabaños,Camino Carrabaños,42.57065,-2.71117,street,calrj
iderioja:street:calrj/0341726001000101--00003,el Ramal,Calle el Ramal,España,034,ESP,La Rioja,03417,La Rioja,0341726,Ábalos,0341726001,Ábalos,03417260010001,0341726001000101--00003,spa,Oficial,Calle el Ramal,Calle el Ramal,Calle el Ramal,Calle el Ramal,Calle el Ramal,42.57251,-2.71202,street,calrj
iderioja:street:calrj/0341726001000101--00004,Real Divisa,Calle Real Divisa,España,034,ESP,La Rioja,03417,La Rioja,0341726,Ábalos,0341726001,Ábalos,03417260010001,0341726001000101--00004,spa,Oficial,Calle Real Divisa,Calle Real Divisa,Calle Real Divisa,Calle Real Divisa,Calle Real Divisa,42.57312,-2.70946,street,calrj
iderioja:street:calrj/0341726001000101--00005,Manuel Iglesias Sarria,Calle Manuel Iglesias Sarria,España,034,ESP,La Rioja,03417,La Rioja,0341726,Ábalos,0341726001,Ábalos,03417260010001,0341726001000101--00005,spa,Oficial,Calle Manuel Iglesias Sarria,Calle Manuel Iglesias Sarria,Calle Manuel Iglesias Sarria,Calle Manuel Iglesias Sarria,Calle Manuel Iglesias Sarria,42.57273,-2.71025,street,calrj
iderioja:street:calrj/0341726001000101--00006,Arana,Calle Arana,España,034,ESP,La Rioja,03417,La Rioja,0341726,Ábalos,0341726001,Ábalos,03417260010001,0341726001000101--00006,spa,Oficial,Calle Arana,Calle Arana,Calle Arana,Calle Arana,Calle Arana,42.57255,-2.71043,street,calrj
iderioja:street:calrj/0341726001000101--00007,de la Constitución,Plaza de la Constitución,España,034,ESP,La Rioja,03417,La Rioja,0341726,Ábalos,0341726001,Ábalos,03417260010001,0341726001000101--00007,spa,Oficial,Plaza de la Constitución,Plaza de la Constitución,Plaza de la Constitución,Plaza de la Constitución,Plaza de la Constitución,42.5726,-2.71111,street,calrj
iderioja:street:calrj/0341726001000101--00008,Sancho Ramírez de la Piscina,Calle Sancho Ramírez de la Piscina,España,034,ESP,La Rioja,03417,La Rioja,0341726,Ábalos,0341726001,Ábalos,03417260010001,0341726001000101--00008,spa,Oficial,Calle Sancho Ramírez de la Piscina,Calle Sancho Ramírez de la Piscina,Calle Sancho Ramírez de la Piscina,Calle Sancho Ramírez de la Piscina,Calle Sancho Ramírez de la Piscina,42.57352,-2.71108,street,calrj
iderioja:street:calrj/0341726001000101--00009,San Bartolomé,Camino San Bartolomé,España,034,ESP,La Rioja,03417,La Rioja,0341726,Ábalos,0341726001,Ábalos,03417260010001,0341726001000101--00009,spa,Oficial,Camino San Bartolomé,Camino San Bartolomé,Camino San Bartolomé,Camino San Bartolomé,Camino San Bartolomé,42.57038,-2.71266,street,calrj
